plotID,insitu_mortdmg_max,insitu_peak_year,insitu_spike,insitu_burn,insitu_insect,insitu_dead_max,insitu_dist,neon_event,neon_event_year,neon_event_type,remark_year,remark,remote_dist,remote_year,remote_sev,d_fire,d_loss,d_spec,neon_dist,neon_dist_year,neon_severity,neon_dist_type,disturbed,dist_year,severity,recency
BLAN_041,0.0,2015.0,0.0,0.0,0.0,0.0,0,0,,,,0,0,,0.0,0.0,0.0,0.0,0,2015.0,0.0,mortality,0,,0.0,
BLAN_042,,,0.0,,,,0,1,2026.0,harvest,,0,0,,0.0,0.0,0.0,0.0,1,2026.0,0.0,harvest,1,2026.0,0.0,-1.0
BLAN_043,,,0.0,,,,0,1,2024.0,harvest,,0,0,,0.0,0.0,0.0,0.0,1,2024.0,0.0,harvest,1,2024.0,0.0,1.0
BLAN_044,0.4310344827586206,2025.0,0.4310344827586206,0.0,0.0172413793103448,0.4137931034482758,1,0,,,,0,0,,0.0,0.0,0.0,0.0,1,2025.0,0.4310344827586206,insect,1,2025.0,0.4310344827586206,0.0
BLAN_045,,,0.0,,,,0,1,2026.0,harvest,,0,1,2017.0,0.594993925754382,0.0,0.0,1.0,1,2026.0,0.0,harvest,1,2026.0,0.0,-1.0
BLAN_046,,,0.0,,,,0,1,2026.0,harvest,,0,1,2017.0,0.5073580501791909,0.0,0.0,1.0,1,2026.0,0.0,harvest,1,2026.0,0.0,-1.0
BLAN_047,0.3571428571428571,2020.0,0.3145896656534954,0.0,0.0212765957446808,0.2831858407079646,1,0,,,,0,1,2019.0,0.1216850618013932,0.0,0.0,1.0,1,2020.0,0.3571428571428571,insect,1,2020.0,0.3571428571428571,5.0
BLAN_048,0.4468085106382978,2018.0,0.2523640661938534,0.0,0.0,0.3035714285714285,1,0,,,,0,0,,0.0,0.0,0.0,0.0,0,2018.0,0.4468085106382978,mortality,0,,0.4468085106382978,
BLAN_049,,,0.0,,,,0,1,2024.0,harvest,,0,0,,0.0,0.0,0.0,0.0,1,2024.0,0.0,harvest,1,2024.0,0.0,1.0
BLAN_050,0.3924050632911392,2018.0,0.2174050632911392,0.0,0.0,0.325,0,0,,,,0,0,,0.0,0.0,0.0,0.0,0,2018.0,0.3924050632911392,mortality,0,,0.3924050632911392,
BLAN_051,,,0.0,,,,0,1,2024.0,harvest,,0,0,,0.0,0.0,0.0,0.0,1,2024.0,0.0,harvest,1,2024.0,0.0,1.0
BLAN_052,0.3919999999999999,2017.0,0.2468387096774193,0.0,0.0,0.352,0,0,,,,0,0,,0.0,0.0,0.0,0.0,0,2017.0,0.3919999999999999,mortality,0,,0.3919999999999999,
BLAN_053,0.2911392405063291,2021.0,0.2603700097370983,0.0,0.0,0.1265822784810126,1,0,,,,0,0,,0.0,0.0,0.0,0.0,0,2021.0,0.2911392405063291,mortality,0,,0.2911392405063291,
BLAN_054,,,0.0,,,,0,1,2026.0,harvest,,0,0,,0.0,0.0,0.0,0.0,1,2026.0,0.0,harvest,1,2026.0,0.0,-1.0
